"logFC","AveExpr","t","P.Value","adj.P.Val","B","TAIR"
1.11334057606946,1.62504893948757,9.80427981237249,4.16509296059434e-13,1.31511711168102e-12,19.6394775397271,"AT2G33855"
-0.388984298861158,6.70577428110561,-9.80369714300432,4.17317584972414e-13,1.31744497846525e-12,18.7351367827529,"AT3G27390"
-1.90177707399187,0.659448987800303,-9.80143943382824,4.20464518250967e-13,1.32712302991367e-12,19.6693092462775,"AT1G79320"
-0.389697359798627,5.48878146728671,-9.80139525146323,4.20526341014863e-13,1.32712302991367e-12,18.8102662941138,"AT5G64370"
0.396407400997932,6.18587328672557,9.79996144733412,4.22537604894301e-13,1.3332434430035e-12,18.7459594439251,"AT1G04480"
-0.400465887547093,4.29930899050698,-9.7997741770062,4.22801014525762e-13,1.33384766395804e-12,19.0079878057767,"AT1G79810"
0.957577511194905,2.35221519468929,9.79804211488586,4.25245168073251e-13,1.34133029460112e-12,19.4837336909073,"AT3G01750"
-0.766117015043485,2.31674345786948,-9.79766308648126,4.25781925441683e-13,1.34279499594744e-12,19.4825983753248,"AT2G40260"
-0.339122745000131,7.67184660977904,-9.79754807601067,4.25944931759861e-13,1.34308069523124e-12,18.6984507201209,"AT3G56190"
-0.348703566562244,6.90462281952968,-9.79720518227926,4.26431295358558e-13,1.34438572752255e-12,18.7073533141121,"AT4G30160"
-0.572734337993532,6.27322006869144,-9.79537081056139,4.29042733685584e-13,1.3523887800249e-12,18.7267313211633,"AT5G60710"
-0.417972230200149,4.41010225224382,-9.79491499906065,4.29694136796845e-13,1.35421192101463e-12,18.9681550837181,"AT4G31670"
0.613851720363821,3.31378030195057,9.79343432299281,4.31817085490225e-13,1.36067133615141e-12,19.2257347039357,"AT1G28570"
-0.588462962740675,3.60289376988785,-9.79244330187567,4.33243900220872e-13,1.36493538600246e-12,19.1493422162224,"AT1G28540"
-1.97697263601597,0.625171511538416,-9.79228937518888,4.33465942034862e-13,1.36540299370254e-12,19.6358774178875,"AT1G64590"
0.407156144365982,6.24021619886591,9.79207423620323,4.33776476327722e-13,1.36614914356432e-12,18.7165637983826,"AT3G19170"
-0.401315941836046,4.79269093577714,-9.79176630182291,4.34221343895448e-13,1.36731804163478e-12,18.8824296036064,"AT5G56660"
-0.392759462050797,5.29654290982737,-9.78995847583458,4.36842394733268e-13,1.37512483550926e-12,18.7962785069931,"AT3G54300"
-0.293425711200323,6.79068229824332,-9.78995404030929,4.36848845140485e-13,1.37512483550926e-12,18.6860526187513,"AT5G08290"
-0.503923338498779,6.96770129905476,-9.78958916803837,4.37379794082135e-13,1.3765625387479e-12,18.6808881344427,"AT1G15400"
2.91806351115252,-0.113314025343374,9.78940575473248,4.37646936758694e-13,1.37711525128732e-12,19.4415833696716,"AT2G29310"
0.584141003233441,6.39212870160708,9.78936665346549,4.37703909329742e-13,1.37711525128732e-12,18.7007689270133,"AT3G06700"
-0.488579700989811,5.1207820871914,-9.78737879531322,4.40610220076238e-13,1.38602404202069e-12,18.8143938084028,"AT3G01100"
0.524630167732243,7.68791864672045,9.78710793722388,4.41007729922906e-13,1.38699229104097e-12,18.6637158086972,"AT3G16470"
-0.392551613218756,7.07927145341976,-9.78706717288697,4.41067586809707e-13,1.38699229104097e-12,18.669524800245,"AT1G20980"
0.404529986483516,4.6299268868624,9.78512834024788,4.43924001129829e-13,1.3957379977886e-12,18.8914703184446,"AT3G11250"
-0.419476605794644,5.77104793710856,-9.78281997453974,4.47349226272579e-13,1.40626883045382e-12,18.718637680409,"AT5G24890"
-0.244736262300246,7.32872032673042,-9.78222921725872,4.48230094596857e-13,1.40879911277545e-12,18.6492657331298,"AT4G23650"
0.317529394903242,5.26361496961364,9.78212497926429,4.48385703967226e-13,1.40904941570318e-12,18.7739680541405,"AT4G26900"
-0.516609146025148,7.77265093863254,-9.78180968671429,4.48856713823304e-13,1.41029061007637e-12,18.6455451954908,"AT5G20960"
4.06336347042554,0.810483602841445,9.77860140583688,4.53678030860785e-13,1.42519756747544e-12,19.5260251024189,"AT2G43620"
0.414227340065635,6.47770430348394,9.77733009923591,4.55602963637861e-13,1.43100222973605e-12,18.6555251807818,"AT4G01800"
-0.360663508789823,5.82760430305408,-9.77624001171318,4.57260077645049e-13,1.43596387742681e-12,18.6911479628831,"AT3G02740"
-0.655211268992687,2.8156947341051,-9.77470380846484,4.59605707416811e-13,1.44308567046887e-12,19.2871090233578,"AT3G17710"
-0.508797848702596,4.8305633528153,-9.77440990856297,4.60055847209077e-13,1.44425453591516e-12,18.8194892806044,"AT4G11570"
0.74481138320363,4.28227222444242,9.77422143610715,4.60344747795914e-13,1.44491691273833e-12,18.9354266570287,"AT2G12400"
-0.52714630217427,3.4509239020345,-9.77295315071395,4.62293616827972e-13,1.45078844522985e-12,19.1200115204809,"AT4G10330"
-0.901305485651462,2.42892371232876,-9.77273470765123,4.62630120908323e-13,1.45159885848193e-12,19.3794022715263,"AT1G19490"
-0.590851505323271,3.51872710772169,-9.77246210394359,4.630504048361e-13,1.45267182992137e-12,19.1030749864888,"AT3G20170"
-2.09859271967865,1.78326066156348,-9.77148263279944,4.64563680669097e-13,1.45717276938436e-12,19.5404908428249,"AT5G45070"
-0.494825996992255,4.75910334248485,-9.7713042204228,4.64839864115716e-13,1.45769880754573e-12,18.8217271320197,"AT1G17145"
-1.99904727504447,2.72349603802288,-9.77127276307515,4.64888577486008e-13,1.45769880754573e-12,19.3689319879297,"AT1G07150"
0.971104650532719,3.39201875611072,9.7691526037812,4.68183675749459e-13,1.46778273058236e-12,19.1385462344376,"AT5G54130"
0.871612460588783,2.46204221026909,9.76859856383266,4.69048633826995e-13,1.47024590359798e-12,19.3583368588565,"AT2G40010"
-2.11794219565149,2.10447825417322,-9.76749966095348,4.70769003983072e-13,1.47538910389896e-12,19.4841975937177,"AT1G70170"
0.62297958060588,4.01291496030922,9.76636520048621,4.72551730723091e-13,1.48072595872971e-12,18.9658916823818,"AT2G33050"
-0.498559880984342,5.00550028502862,-9.76600391881803,4.73120891109733e-13,1.48225898098179e-12,18.7611551228927,"AT1G03970"
-0.447055384786901,3.85506058548231,-9.76400530516766,4.76282031710774e-13,1.49191063032253e-12,18.9896525740023,"AT4G14230"
