"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","osd_id","phase_shift","tissue","light_regime","is_circadian"
"GO:0010305 (leaf vascular tissue pattern formation)",0.00804552590266876,0.0338699761776685,0.514519556984397,1.72601457019511,40,29,"AT5G55540;AT3G63300;AT4G20910;AT2G32010;AT1G11130;AT2G42580;AT4G16670;AT2G01950;AT1G05470;AT5G46700;AT1G19850;AT1G09700;AT4G18750;AT4G17350;AT5G43870;AT4G13750;AT2G36120;AT3G54720","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010311 (lateral root formation)",0.176602238046796,0.33119796667966,-0.309180793658493,-1.19463794659674,867,52,"AT2G17500;AT3G18830;AT4G37070;AT3G05090;AT1G21410;AT3G24300;AT4G13510;AT3G53180;AT1G71090;AT2G30340","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010315 (auxin export across the plasma membrane)",0.15020297699594,0.298423076407776,0.457183033183391,1.29706604719974,776,15,"AT1G53500;AT2G36910;AT1G23080;AT1G75500;AT1G70940;AT1G77110;AT1G78570;AT5G57090;AT3G14790;AT3G62150","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010345 (suberin biosynthetic process)",0.939050595819496,0.97466975635058,0.214749338340818,0.617934972227549,4806,16,"AT1G64670;AT1G17840;AT5G23190;AT5G41040;AT1G04220","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010374 (stomatal complex development)",0.318721835313396,0.497073950411048,-0.377155935006097,-1.1079782372173,1555,17,"AT5G46760;AT1G32640;AT5G19420;AT3G24140;AT5G10890;AT5G12350;AT5G53210;AT4G17880","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010380 (regulation of chlorophyll biosynthetic process)",0.888796852350383,0.935412071879249,-0.241055248579612,-0.681563747387308,4291,15,"AT3G16857","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010411 (xyloglucan metabolic process)",0.000193573364305072,0.00186712983065567,0.622141567732536,2.17331552928886,0,34,"AT2G06850;AT1G11545;AT4G30290;AT1G68560;AT4G02500;AT4G37800;AT3G23730;AT4G03210;AT2G36870;AT3G44990;AT1G29890;AT5G48070;AT1G74380;AT3G06550;AT1G65310;AT5G13870","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010431 (seed maturation)",0.0282087447108604,0.08753435214401,-0.512380174667212,-1.57792817226892,139,20,"AT4G02280;AT5G66730;AT5G58070;AT3G10420;AT3G22960;AT3G14180;AT4G32320;AT2G41945;AT5G23660;AT5G63110;AT5G17490","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010468 (regulation of gene expression)",0.151083591331269,0.299185269675737,-0.268445053794668,-1.1802776666482,731,103,"AT5G48160;AT3G07780;AT5G39610;AT5G61380;AT3G14230;AT5G05550;AT5G62470;AT5G67060;AT1G29160;AT1G68050;AT3G13224;AT1G33680;AT1G52740;AT5G14170;AT3G48750;AT4G10070;AT2G42280;AT1G30810;AT3G11100;AT4G28490;AT2G25970;AT1G17640;AT4G20480;AT3G63500;AT4G30760;AT5G15540;AT4G08920;AT1G14740;AT4G00830;AT1G04970;AT2G46830;AT1G64810","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010492 (maintenance of shoot apical meristem identity)",0.199274632278864,0.357715398863128,-0.397294514876074,-1.22350988329718,988,20,"AT5G48160;AT3G16857;AT3G07780;AT3G08850","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010497 (plasmodesmata-mediated intercellular transport)",0.0719779136265036,0.174639868729999,0.474680684623387,1.43069525714192,364,19,"AT1G04520;AT1G62360;AT2G33330;AT2G43800;AT1G12770;AT1G11130","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010540 (basipetal auxin transport)",0.528126812294607,0.672161397465863,0.334103784948296,0.947880048565859,2731,15,"AT3G28860;AT4G31820;AT5G55540","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010555 (response to mannitol)",0.306179775280899,0.482513677275134,-0.343084215986749,-1.11057118265567,1525,24,"AT4G02280;AT3G05360;AT4G34390;AT2G41870;AT3G57540;AT4G17410;AT1G77180;AT3G05010;AT2G23460","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010584 (pollen exine formation)",0.0141335518230234,0.0525209765275312,-0.57336980063461,-1.68439948047085,68,17,"AT2G02970;AT3G54150;AT1G27600;AT4G01810;AT4G39400;AT3G51050;AT5G05690;AT5G63370","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010628 (positive regulation of gene expression)",0.176434800243358,0.33119796667966,-0.411785170313028,-1.25076610302425,869,19,"AT3G12977;AT2G21230;AT5G54230;AT1G02140;AT3G09600;AT4G38495;AT1G51510;AT5G04240;AT1G23230","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010629 (negative regulation of gene expression)",0.0760032428050263,0.179121053971487,-0.427769499076642,-1.39226848572674,374,25,"AT5G13180;AT4G02370;AT5G60120;AT1G06230;AT5G61380;AT3G15210;AT4G16430;AT1G75380;AT2G21230;AT4G37180;AT3G10930;AT4G02360;AT2G47700;AT1G02816","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0010928 (regulation of auxin mediated signaling pathway)",0.873391872575046,0.925672371989749,-0.235042647808741,-0.703386238323773,4276,18,"AT1G59870;AT5G50320;AT1G79570;AT4G37900;AT5G13680;AT2G35050;AT3G11220;AT1G27340","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0012501 (programmed cell death)",0.047328864513508,0.128342236203297,-0.437526635041319,-1.46192693418692,232,28,"AT1G73260;AT1G32230;AT1G64280;AT1G12220;AT1G08720;AT4G35790;AT2G26560;AT3G16770;AT1G29690;AT5G51290;AT4G38360","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0015031 (protein transport)",0.491013071895425,0.647423101856366,-0.26188265502953,-0.976345417449424,2403,44,"AT1G61250;AT1G11180;AT3G49870;AT3G59920;AT5G53480;AT1G34220;AT4G32160;AT2G19710;AT1G13340;AT1G79910;AT1G25420;AT3G15920;AT2G44100;AT3G27325;AT1G03550;AT1G26170;AT5G67560;AT4G29440;AT2G06530;AT5G24350","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0015693 (magnesium ion transport)",0.95813763528691,0.988481228668942,-0.199007246428211,-0.595547062498271,4691,18,"AT2G47600;AT2G21120;AT2G03620;AT5G09720;AT3G58970;AT4G38730;AT5G09690;AT1G16010","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0015706 (nitrate transmembrane transport)",0.153875894065339,0.303715699106014,0.455719386345135,1.29291356016239,795,15,"AT5G62720;AT3G16180;AT1G52190;AT1G69870","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0015979 (photosynthesis)",0.000194969779684149,0.00186712983065567,0.60591894284492,2.27635691944333,0,47,"AT4G09650;AT1G20020;AT2G39470;AT1G12000;AT1G55480;AT4G10340;AT4G22890;AT1G15820;AT5G54270;AT1G67090;AT1G76450;AT1G67740;AT3G55330;AT5G27390;AT3G56650;AT1G20950;AT5G38410;AT1G11750;AT5G64040;AT1G55670;AT2G28605;AT3G03630;AT3G01500;AT1G76550;AT2G31040","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0015986 (proton motive force-driven ATP synthesis)",0.0106487872214553,0.0421748020218165,0.568149818002992,1.71241273616988,53,19,"AT4G09650;AT5G13450;AT4G04640;AT4G32260;AT2G19680;AT4G26210;AT4G29480;AT3G52300;AT2G33040","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0015995 (chlorophyll biosynthetic process)",0.000194590387234871,0.00186712983065567,0.62943906807723,2.26786874078481,0,39,"AT1G10670;AT4G18480;AT3G48730;AT2G40490;AT5G45930;AT5G58250;AT4G27430;AT5G08280;AT4G03205;AT1G69740;AT3G51820;AT5G18660;AT5G13630;AT1G03475;AT1G08520;AT3G14930;AT2G26540;AT2G20180;AT3G14110;AT3G03710;AT1G63970;AT3G59400;AT3G56940;AT5G16440;AT5G63570;AT1G03630;AT1G74470;AT4G25080;AT5G14220;AT2G40400","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016024 (CDP-diacylglycerol biosynthetic process)",0.785810941426638,0.860105794070611,0.271319233196265,0.769755086667833,4064,15,"AT4G00400;AT3G18850;AT4G01950;AT4G30580;AT1G32200;AT3G60620;AT2G45150","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016036 (cellular response to phosphate starvation)",0.146106557377049,0.292213114754098,-0.300293821036208,-1.21657798136891,712,66,"AT4G35090;AT1G27320;AT1G62300;AT5G43350;AT5G60410;AT3G05630;AT2G33770;AT5G42870;AT3G04530;AT2G47190;AT1G69480;AT5G23630","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016117 (carotenoid biosynthetic process)",0.0876953125,0.197425956156716,0.479987770860157,1.40612416925651,448,17,"AT1G10670;AT5G17230;AT3G53130;AT1G31800;AT1G06820;AT4G14210;AT2G48120;AT1G63970;AT3G11945;AT5G57030","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016126 (sterol biosynthetic process)",0.333532814681827,0.513521111095806,0.344519722266503,1.08541916395117,1671,23,"AT3G52940;AT5G13710;AT1G20330;AT4G22756;AT2G22830;AT1G07420;AT1G58440;AT4G12110;AT1G11680;AT4G34640","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016132 (brassinosteroid biosynthetic process)",0.872593768604882,0.925672371989749,0.233462261516385,0.710325855035326,4396,20,"AT1G78490;AT5G38970;AT2G45400;AT2G32440;AT3G19820;AT4G31910;AT3G50660;AT1G50430","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016192 (vesicle-mediated transport)",0.000831427977551445,0.00538193163963408,-0.352677704005602,-1.64719079726176,3,153,"AT3G51890;AT4G32150;AT3G11820;AT4G35860;AT3G13720;AT3G62290;AT3G60190;AT4G26750;AT1G03900;AT1G59820;AT1G18740;AT5G61210;AT5G02040;AT3G52400;AT3G06540;AT1G16240;AT5G56230;AT1G23900;AT4G23460;AT2G38020;AT4G11740;AT3G59920;AT4G27540;AT1G08770;AT5G11490;AT4G17530;AT3G56110;AT1G01960;AT2G36900;AT3G08530;AT5G22360;AT4G24550;AT5G58060;AT5G05987;AT3G54300;AT5G05760;AT4G11380;AT1G04260;AT4G29160;AT1G02130;AT5G05380;AT1G22860;AT2G33120;AT5G51510;AT4G36630;AT3G11130;AT2G39805;AT3G15060;AT5G17060;AT2G42700;AT3G54860;AT1G06400;AT5G01640;AT1G80910;AT1G12360;AT2G27600;AT1G62880;AT1G31730;AT3G19770;AT5G47200;AT3G28430;AT2G44100","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016226 (iron-sulfur cluster assembly)",0.831869254341164,0.894259448416752,-0.222392386431525,-0.767529843323863,4071,32,"AT1G67810;AT4G22220;AT1G55805;AT2G26060;AT5G09590;AT5G65720;AT5G50960;AT3G20970;AT2G16710","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016310 (phosphorylation)",0.554090253451473,0.690605243432271,-0.202563355554598,-0.962323741941597,2688,172,"AT3G17410;AT3G20830;AT1G48490;AT3G08760;AT1G03740;AT2G23450;AT5G58540;AT5G42440;AT3G63280;AT5G66790;AT5G45430;AT5G55560;AT3G09840;AT2G43790;AT4G19110;AT5G39020;AT5G59680;AT1G76360;AT1G61590;AT5G57035;AT1G30640;AT3G57770;AT5G10450;AT5G19280;AT1G69790;AT3G58640;AT5G51770;AT2G28960;AT1G71530;AT1G51860;AT3G21070;AT2G23200;AT1G51790;AT5G37450;AT5G46080;AT1G11050;AT5G59270;AT2G45490;AT5G49780;AT1G70740;AT1G77280;AT4G21230","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016311 (dephosphorylation)",0.386939768809572,0.561622492845118,-0.308084899875491,-1.04581348471364,1907,30,"AT3G17790;AT1G43670;AT2G39840;AT2G01890;AT3G10550;AT5G04540;AT1G50030;AT1G22620","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016554 (cytidine to uridine editing)",0.213889988128215,0.371867402336147,0.391113243338233,1.20766143017118,1080,21,"AT3G14330;AT3G20930;AT5G66520;AT1G11430;AT4G30700;AT5G61030;AT4G14050;AT1G72530;AT3G02330;AT4G20020","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016579 (protein deubiquitination)",0.162644494017441,0.311982819429958,-0.418535146921324,-1.27126864305367,801,19,"AT2G40930;AT4G39910;AT3G20630;AT3G11910;AT4G24560;AT5G23540;AT5G06600","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0016925 (protein sumoylation)",0.492027334851936,0.647423101856366,-0.343849928916873,-0.972207190975327,2375,15,"AT5G60410;AT2G21470;AT5G41580;AT1G09730;AT5G55160;AT5G55170","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0017148 (negative regulation of translation)",0.230400957510473,0.391225514003562,0.373974486110636,1.17821723349491,1154,23,"AT3G20390;AT3G12930;AT1G20340;AT1G78630;AT3G02830;AT3G24830;AT4G13170;AT3G07110","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0018119 (peptidyl-cysteine S-nitrosylation)",0.0046394741929248,0.0221663766995296,0.64114754865582,1.8189885806047,23,15,"AT3G12780;AT1G53240;AT4G21280;AT1G09340;AT3G55440;AT4G05180;AT3G52960;AT1G02560;AT4G20360;AT5G20630;AT3G26650;AT1G32060","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019252 (starch biosynthetic process)",0.000196232339089482,0.00186712983065567,0.663533024063787,2.22589725073259,0,29,"AT1G10670;AT1G66430;AT5G51820;AT3G55800;AT5G48300;AT3G16000;AT1G03310;AT5G04360;AT1G27680;AT2G39930;AT5G39790;AT5G19220;AT5G24300;AT2G36390;AT1G11720;AT2G21590;AT4G18240;AT5G65685;AT3G20440","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019432 (triglyceride biosynthetic process)",0.60557034609871,0.730567832367582,-0.308996619033267,-0.893984382038409,2956,16,"AT1G12640;AT3G49210;AT1G48300;AT3G51520;AT2G19450","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019722 (calcium-mediated signaling)",0.492557775166471,0.647423101856366,0.263746872055577,0.976432570056314,2514,44,"AT5G67070;AT3G23805;AT4G04850;AT3G43810;AT2G32390;AT4G14020;AT1G05200;AT3G51480;AT4G13950;AT1G42540;AT1G64150;AT4G33000;AT3G16570","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019748 (secondary metabolic process)",0.860042528513435,0.916363897637324,0.247845023686877,0.703156814357788,4448,15,"AT2G35450;AT5G36890","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019760 (glucosinolate metabolic process)",0.0169180595189564,0.0599098342965396,-0.470438305633386,-1.58268841211157,82,29,"AT4G01120;AT3G19290;AT5G63790;AT5G61590;AT5G54680;AT5G13330;AT4G37260;AT1G68360;AT3G11580;AT5G57220;AT2G44730;AT3G53340;AT1G20910;AT4G30550","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019761 (glucosinolate biosynthetic process)",0.00059206631142688,0.00429963146016056,0.623715511498341,2.04036111425294,2,26,"AT2G22330;AT1G62560;AT5G23020;AT5G14200;AT2G43100;AT1G16410;AT1G16400;AT4G12030;AT5G23010;AT3G58990;AT4G13770;AT1G74090;AT1G18590;AT1G24100;AT3G19710","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0019762 (glucosinolate catabolic process)",0.419641096430684,0.590242850587084,0.341343296962842,1.02881421520109,2127,19,"AT2G43910;AT3G03640;AT3G14210;AT5G26000;AT5G25980;AT2G32860","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0022900 (electron transport chain)",0.105489353389334,0.226802109787068,0.4783678783407,1.37648965021666,539,16,"AT5G66190;AT1G20020;AT1G10960;AT1G32550;AT4G14890","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030001 (metal ion transport)",0.184343946461164,0.339373259234314,-0.408732618244425,-1.2414942085259,908,19,"AT1G80830;AT3G08650;AT2G47600;AT5G67330;AT5G03280;AT1G68100;AT2G19110;AT1G60960;AT3G13320;AT3G12100","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030036 (actin cytoskeleton organization)",0.00664192225043954,0.028974182570758,0.617736605072639,1.77751910598993,33,16,"AT1G29170;AT5G01730;AT2G34150;AT3G25500;AT2G31650;AT3G12110;AT4G34490;AT5G18410","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030048 (actin filament-based movement)",0.809394935240673,0.873218191782948,0.26483605937874,0.751361786771613,4186,15,"AT4G27370;AT2G20290;AT1G04160;AT2G31900;AT1G50360;AT3G58160;AT5G54280","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030148 (sphingolipid biosynthetic process)",0.556463140698387,0.69212977417444,-0.31014007230432,-0.928122027408023,2724,18,"AT3G48780;AT5G23450;AT1G75000;AT3G06470","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030150 (protein import into mitochondrial matrix)",0.989540161831458,1,0.161837059120592,0.52941771719203,5013,26,"AT5G11690;AT3G29760;AT1G55900;AT3G20000;AT4G00026;AT2G36070;AT4G26780;AT5G61880;AT3G54826;AT3G09700;AT1G68730;AT1G64220;AT5G55200","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030154 (cell differentiation)",0.519594462858257,0.665523120512065,0.239680057344599,0.966239061164174,2664,67,"AT1G30210;AT3G60630;AT5G10480;AT2G31070;AT3G15030;AT4G04890;AT4G18390;AT2G30980;AT1G53230;AT4G32890;AT2G45050;AT5G16600;AT1G73690;AT5G60970;AT1G78570;AT1G74560;AT1G17920;AT3G60530;AT4G36710;AT4G36920;AT4G16515;AT3G54010;AT4G36240;AT1G09840;AT3G12280;AT4G21750;AT1G08010;AT3G08550","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030163 (protein catabolic process)",0.751295336787565,0.840097237988132,0.253980360338283,0.81046243203029,3769,24,"AT2G47940;AT5G64760;AT1G75990;AT2G41110;AT2G34640;AT5G56280;AT4G19006","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030244 (cellulose biosynthetic process)",0.0123723487824038,0.0474404711274336,0.50215929736592,1.65910020524822,62,27,"AT5G06700;AT1G05850;AT1G02730;AT5G09870;AT4G39350;AT2G32540","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030422 (siRNA processing)",0.0214061272584446,0.0715916033865759,0.478952985178331,1.58242812625766,108,27,"AT3G49500;AT2G27040;AT2G27840;AT4G20910;AT3G43920;AT2G16390;AT2G40030;AT4G15950;AT2G19910;AT1G63020","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030488 (tRNA methylation)",0.58984375,0.717345328282828,0.309253586920069,0.905958379352694,3019,17,"AT5G17660;AT2G39670;AT2G13440;AT2G45730;AT1G36310;AT5G24840;AT5G01230;AT4G17610;AT5G14600","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0030968 (endoplasmic reticulum unfolded protein response)",0.675560081466395,0.784259618725743,-0.261033214760717,-0.863865675900401,3316,27,"AT4G21810;AT4G34460;AT3G63310;AT3G58460;AT4G29330;AT4G04860;AT4G15470","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031047 (regulatory ncRNA-mediated gene silencing)",0.142429682824656,0.286209189440787,0.408193587786496,1.2860254846099,713,23,"AT3G49500;AT3G42670;AT2G27040;AT5G21150;AT3G49250;AT1G69440;AT1G15215;AT5G43810;AT1G63020","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031124 (mRNA 3'-end processing)",0.155932905363429,0.306769964146354,-0.457168090729315,-1.29260490671484,752,15,"AT4G29820;AT4G04885;AT1G17760;AT2G36480;AT3G26990;AT5G43620;AT1G71800;AT1G73840;AT1G66500;AT5G65180","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031145 (anaphase-promoting complex-dependent catabolic process)",0.078726313733151,0.184409497538354,0.493778116032993,1.42083216076398,402,16,"AT1G50490;AT4G33270;AT5G13840;AT4G33260;AT2G18290;AT1G78770;AT4G22910","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031146 (SCF-dependent proteasomal ubiquitin-dependent protein catabolic process)",0.000204582651391162,0.00186712983065567,-0.514367752387469,-2.01651927904868,0,56,"AT1G15740;AT5G57900;AT1G21410;AT2G39940;AT1G55590;AT1G80570;AT5G57360;AT3G26810;AT5G25350;AT1G77000;AT5G43190;AT4G33160;AT1G21760;AT2G25490;AT2G42620;AT1G47056;AT5G27920;AT3G50080;AT3G58530;AT1G75950;AT4G30640;AT5G01720;AT4G15475;AT3G61415;AT5G67250;AT2G17020;AT1G12820","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031347 (regulation of defense response)",0.103962418300654,0.224320343430084,-0.3481831603372,-1.29808914985206,508,44,"AT3G07780;AT4G14720;AT4G08480;AT5G42950;AT3G56400;AT4G35580;AT5G20900;AT2G02220;AT3G17860;AT3G27960;AT5G40820;AT3G43440;AT5G55390;AT5G13220;AT2G18950;AT4G23810;AT1G19180;AT1G48500;AT4G02590;AT1G72300;AT1G74950;AT1G80840","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031348 (negative regulation of defense response)",0.0429584599797366,0.119643242831188,-0.447053518482709,-1.47169840038812,211,26,"AT5G48380;AT2G39940;AT3G11820;AT1G64280;AT3G09840;AT2G46370;AT4G37460;AT1G59870","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031408 (oxylipin biosynthetic process)",0.469343780607248,0.630680705190989,0.332153320462677,0.987379191774572,2395,18,"AT2G23610;AT2G23600;AT3G15850;AT3G50440","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031425 (chloroplast RNA processing)",0.0168001562805235,0.0599098342965396,0.576951293356987,1.6601605583128,85,16,"AT3G52380;AT3G18110;AT3G18680;AT3G03710;AT4G16390;AT3G63370;AT2G29760;AT5G39980;AT5G53080;AT2G02980","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031507 (heterochromatin formation)",0.183356017888392,0.338589947143595,0.339063529880504,1.20527109091901,942,37,"AT5G59870;AT5G66750;AT1G54690;AT2G27040;AT2G23380;AT1G51060;AT5G64630;AT3G54560;AT1G65470","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0031647 (regulation of protein stability)",0.73342736248237,0.829930962808997,-0.264604372871697,-0.814876755781936,3639,20,"AT4G39910;AT4G31670;AT4G17895;AT3G11910;AT4G24560;AT5G06600;AT2G22310;AT4G39370;AT5G63460;AT3G49600;AT1G04860","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032259 (methylation)",0.981920684292379,0.996823359096142,0.167463868536773,0.591991948171656,5050,36,"AT1G48600;AT3G25470;AT4G35160;AT5G10910;AT4G35987;AT1G77520;AT1G23360;AT1G77530","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032502 (developmental process)",0.0760719225449516,0.179121053971487,0.451392140411627,1.41046103185452,384,22,"AT3G53900;AT3G55240;AT3G57180;AT3G58850;AT5G55580;AT5G22370;AT1G26910;AT4G02990;AT1G26210","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032508 (DNA duplex unwinding)",0.204523487338102,0.360525879049129,0.432965968347811,1.22836023293899,1057,15,"AT3G09660;AT5G27680;AT3G23700;AT1G31360;AT2G21660;AT2G14050;AT1G79890;AT1G79950","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032543 (mitochondrial translation)",0.00646425073457395,0.0288257699423223,0.595169160002637,1.76923609661337,32,18,"AT4G02790;AT5G49030;AT3G18240;AT3G02760;AT4G39880;AT4G21460;AT1G47278;AT4G32915;AT4G19540;AT3G59650;AT1G62750;AT4G10650;AT2G44065;AT5G64320","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032544 (plastid translation)",0.000197589409207666,0.00186712983065567,0.700766884959039,2.18968009223083,0,22,"AT1G68590;AT3G63140;AT5G54600;AT3G56910;AT1G09340;AT2G38140;AT4G31850;AT2G33800;AT3G63190;AT1G79850;AT1G70200;AT3G62910;AT4G37920","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032875 (regulation of DNA endoreduplication)",0.297082754514785,0.471883425377046,0.368644146664557,1.12162654033441,1496,20,"AT1G14350;AT1G63100;AT3G54180;AT2G39830;AT2G18290;AT1G78770;AT2G38620;AT1G69380;AT5G11510;AT3G12280","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032968 (positive regulation of transcription elongation by RNA polymerase II)",0.206225680933852,0.36194711347574,-0.422327775703829,-1.22187238411044,1006,16,"AT1G03740;AT5G44290;AT5G53450;AT1G71530","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0032981 (mitochondrial respiratory chain complex I assembly)",0.989055533036076,1,-0.1668826260663,-0.54315565179134,4879,25,"AT5G11770;AT3G60150;AT3G03100;AT1G76060;AT4G31010;AT3G62790;AT4G26965;AT5G60870;AT1G76200;AT1G79010;AT1G62730;AT1G66345;AT2G47690;AT1G52620;AT2G02510;AT3G28700;AT2G44525;AT1G14450;AT3G16010;AT1G22800;AT4G01400;AT1G16700;AT1G72420;AT4G19540;AT1G17350","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0034063 (stress granule assembly)",0.140085766795998,0.282992052386545,-0.436851269889589,-1.30731666912056,685,18,"AT1G26110;AT3G14010;AT3G14100;AT4G00660;AT5G60980;AT1G54170;AT2G45810;AT3G61240","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0034599 (cellular response to oxidative stress)",0.230706075533662,0.391225514003562,-0.311135431986335,-1.15235797697267,1123,43,"AT1G65970;AT1G08830;AT1G65980;AT5G63030;AT1G07380;AT4G04800;AT3G07700;AT5G07470;AT1G60740;AT5G61640;AT1G77370;AT4G35000;AT4G32320;AT2G28190","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0034605 (cellular response to heat)",0.395765472312704,0.567263843648208,-0.262223508222418,-1.03220998856048,1943,57,"AT4G18880;AT5G07100;AT2G30250;AT1G76010;AT1G76560;AT2G25140;AT2G38470;AT5G52640;AT3G51910;AT3G26020;AT3G02990;AT1G80510;AT5G56010;AT1G33270;AT5G16820;AT5G19350;AT1G67970","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0034976 (response to endoplasmic reticulum stress)",0.455257489719992,0.622875020025989,0.289402233650407,0.993889588982675,2324,32,"AT5G48580;AT1G56340;AT5G01660;AT4G24190;AT2G32920;AT1G52260;AT1G04980;AT5G42020;AT5G11340;AT3G16110","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0035196 (miRNA processing)",0.900675814048741,0.946259755771975,-0.231286001593523,-0.669153189622633,4397,16,"AT2G33730;AT3G20550;AT4G21710;AT5G23080;AT5G20170;AT1G24706;AT1G01040;AT3G62800","OSD-321",-0.43,"whole_seedling","dark",FALSE
"GO:0035556 (intracellular signal transduction)",0.00930136420008268,0.0378339273543904,-0.326015793345187,-1.4732446474825,44,122,"AT5G58350;AT1G10210;AT1G48490;AT3G26500;AT3G20410;AT5G24430;AT2G17440;AT2G04550;AT5G45430;AT4G35470;AT5G55560;AT2G43790;AT1G12970;AT4G19110;AT3G05630;AT5G41990;AT2G01450;AT5G07920;AT3G04530;AT4G36450;AT1G30640;AT5G05850;AT3G57530;AT3G10550;AT5G04540;AT4G11330;AT2G18170;AT1G12680;AT4G35310;AT1G59580;AT3G21630;AT3G16785;AT4G23650;AT3G49370;AT2G17290;AT5G66210","OSD-321",-0.43,"whole_seedling","dark",FALSE
